People - toopicc
Work and business
Travel
Politics and society
Homes and buildings
The natural world
Food and drink
Sport

People - toopicc
Education - topicc


notebook    								<--->  noun+B2    
nursery school    								<--->  noun+C1    
OFSTED    								<--->  abbreviation+C2    
optional    								<--->  adjective+B2    
oral    								<--->  noun+C1    
Oxbridge    								<--->  noun+C2    
paraprofessional    								<--->  noun+C2    
paraprofessional    								<--->  adjective+C2    
pass    								<--->  verb+A2    
pass    								<--->  noun+B1    
pass-fail    								<--->   <--> adverb+C1    
pass-fail    								<--->  adjective+C1    
passing    								<--->  adjective+C1    
PE    								<--->  noun+B1    
period    								<--->  noun+B2    
personal statement    								<--->  noun+B2    
PhD    								<--->  noun+B2    
Phi Beta Kappa    								<--->  noun+C2    
philosophy    								<--->  noun+B2    
phonics    								<--->  noun+C2    
physical education    								<--->  noun+B1    
physics    								<--->  noun+A2    
pigeonhole    								<--->  noun+C2    
place    								<--->  noun+B1    
playground    								<--->  noun+B1    
play hookey    								<--->  idiom+C2
play hooky    								<--->  idiom+C2
playing field    								<--->  noun+B2    
playtime    								<--->  noun+B2    
play truant    								<--->  idiom+C1
plus    								<--->  adjective+C2    
politics    								<--->  noun+B1    
polytechnic    								<--->  noun+C2    
postdoctoral    								<--->  adjective+C2    
postgraduate    								<--->  noun+B2    
practical    								<--->  noun+C1    
practise    								<--->  verb+A1    
prefect    								<--->  noun+C2    
preparatory school    								<--->  noun+C2    
president    								<--->  noun+B1    
primary    								<--->  adjective+B1    
primary school    								<--->  noun+B1    
principal    								<--->  noun+C1    
private school    								<--->  noun+B1    
prize-giving    								<--->  noun+B2    
prof    								<--->  noun+C2    
professor    								<--->  noun+A2    
programme    								<--->  noun+B1    
programmed learning    								<--->  noun+C2    
project    								<--->  noun+A1    
prom    								<--->  noun+B2    
prospectus    								<--->  noun+C2    
provost    								<--->  noun+C2    
PSHE    								<--->  noun+C2    
psychology    								<--->  noun+B2    
PTA    								<--->  abbreviation+C2    
public school    								<--->  noun+C1    
pupil    								<--->  noun+B2    
quad    								<--->  noun+C2    
quadrangle    								<--->  noun+C2    
qualification    								<--->  noun+B1    
qualified    								<--->  adjective+B1    
qualify    								<--->  verb+B1    
RE    								<--->  noun+C2    
re    								<--->   <--> adverb+C2    
reader    								<--->  noun+C2    
readership    								<--->  noun+C2    
reading list    								<--->  noun+A2    
reception    								<--->  noun+C2    
reception class    								<--->  noun+C2    
recess    								<--->  noun+C2    
red-brick    								<--->  adjective+C2    
register    								<--->  noun+B2    
registrar    								<--->  noun+C2    
registration    								<--->  noun+C1    
remote learning    								<--->  noun+B2    
report    								<--->  noun+B1    
research    								<--->  noun+A2    
research    								<--->  verb+A2    
residence hall    								<--->  noun+C1    
residential    								<--->  adjective+C1    
resit    								<--->  noun+C2    
resit    								<--->  verb+C2    
result    								<--->  noun+A1    
retake    								<--->  noun+C1    
review    								<--->  noun+A2    
review    								<--->  verb+A2    
revise    								<--->  verb+B1    
revision    								<--->  noun+B2    
room-mate    								<--->  noun+B2    
rubber    								<--->  noun+B2    
rubric    								<--->  noun+C2    
ruler    								<--->  noun+A2    
SAT    								<--->  noun+C2    
satchel    								<--->  noun+C2    
SCE    								<--->  abbreviation+C2    
schedule    								<--->  noun+A2    
scholar    								<--->  noun+C1    
scholarship    								<--->  noun+B2    
scholastic    								<--->  adjective+C2    
school    								<--->  noun+A1    
schoolchild    								<--->  noun+A2    
school council    								<--->  noun+C1    
school day    								<--->  noun+A2    
school district    								<--->  noun+C1    
schooling    								<--->  noun+C1    
schoolkid    								<--->  noun+A2    
school-leaver    								<--->  noun+B1    
schoolmistress    								<--->  noun+C2    
schoolyard    								<--->  noun+C2    
science    								<--->  noun+A1    
score    								<--->  verb+B1    
score    								<--->  noun+A2    
script    								<--->  noun+C2    
second    								<--->  noun+C2    
secondary education    								<--->  noun+B2    
secondary modern    								<--->  noun+C2    
secondary school    								<--->  noun+B1    
second class    								<--->  noun+C2    
semester    								<--->  noun+B1    
seminar    								<--->  noun+B2    
SEN    								<--->  abbreviation+C2    
senior    								<--->  adjective+C1    
senior    								<--->  noun+C1    
senior high school    								<--->  noun+B2    
session    								<--->  noun+C2    
set    								<--->  verb+B1    
setter    								<--->  noun+C1    
sickbay    								<--->  noun+C2    
sit    								<--->  verb+C2    
sixth form    								<--->  noun+C1    
sixth-form college    								<--->  noun+C1    
skip    								<--->  verb+C1    
skive    								<--->  verb+C2    
social science    								<--->  noun+B2    
social studies    								<--->  noun+B2    
sociological    								<--->  adjective+C1    
sociology    								<--->  noun+B2    
sophomore    								<--->  noun+C2    
sorority    								<--->  noun+C2    
special education    								<--->  noun+C2    
special school    								<--->  noun+C2    
sponsor    								<--->  verb+B2    
sponsor    								<--->  noun+B2    
sports day    								<--->  noun+B1    
staff    								<--->  noun+C2    
staffroom    								<--->  noun+C1    
state school    								<--->  noun+B2    
state university    								<--->  noun+B2    
the Ivy League    								<--->  noun+C2    
the performing arts    								<--->  noun+B2    
the school run    								<--->  noun+C2    
STEAM    								<--->  abbreviation+C2    
STEM    								<--->  abbreviation+C1    
stream    								<--->  noun+C2    
student    								<--->  noun+A1    
studious    								<--->  adjective+C2    
study    								<--->  noun+A1    
study    								<--->  verb+A1    
study hall    								<--->  noun+C2    
subject    								<--->  noun+A1    
summa cum laude    								<--->   <--> adverb+C2    
summer school    								<--->  noun+B2    
suspend    								<--->  verb+C1    
suspension    								<--->  noun+C1    
swot    								<--->  noun+C2    
swot    								<--->  verb+C2    
swot up    								<--->  phrasal verb+C2
swot up on    								<--->  phrasal verb+C2
syllabus    								<--->  noun+C1    
take    								<--->  verb+A2    
task    								<--->  noun+A2    
taunt    								<--->  verb+C2    
taunt    								<--->  noun+C2    
teach    								<--->  verb+A1    
teacher    								<--->  noun+A1    
teacher trainer    								<--->  noun+B2    
teacher training    								<--->  noun+B2    
teaching    								<--->  noun+A2    
teaching assistant    								<--->  noun+B1    
telling-off    								<--->  noun+C2    
tell off    								<--->  phrasal verb+C1
tell on    								<--->  phrasal verb+C2
tenure    								<--->  noun+C2    
term    								<--->  noun+B1    
term time    								<--->  noun+B2    
tertiary    								<--->  adjective+C2    
tertiary college    								<--->  noun+C2    
test    								<--->  noun+A1    
test    								<--->  verb+A1    
text    								<--->  noun+A1    
textbook    								<--->  noun+B2    
theology    								<--->  noun+C1    
thesis    								<--->  noun+B2    
third    								<--->  noun+C2    
third class    								<--->  noun+C2    
third-class    								<--->  adjective+C2    
timetable    								<--->  noun+A2    
trade school    								<--->  noun+C2    
train    								<--->  verb+A2    
trainee    								<--->  noun+B2    
training    								<--->  noun+A2    
transcript    								<--->  noun+C2    
truant    								<--->  verb+C1    
truant    								<--->  noun+C1    
tuition    								<--->  noun+C1    
tutor    								<--->  noun+B1    
tutor    								<--->  verb+B2    
tutorial    								<--->  noun+B2    
undergraduate    								<--->  noun+C1    
uniform    								<--->  noun+A2    
university    								<--->  noun+A1    
upper school    								<--->  noun+C1    
vacation    								<--->  noun+A2    
varsity    								<--->  noun+C2    
vice chancellor    								<--->  noun+C2    
visiting    								<--->  adjective+B2    
viva    								<--->  noun+C2    
viva voce    								<--->  noun+C2    
VLE    								<--->  noun+C2    
vocational    								<--->  adjective+C1    
vocational school    								<--->  noun+C1    
weighting    								<--->  noun+C2    
whiteboard    								<--->  noun+B1    
workbook    								<--->  noun+B2    
worksheet    								<--->  noun+B2    
written    								<--->  adjective+B1    
year    								<--->  noun+A1    
yearbook    								<--->  noun+C2    
zoology    								<--->  noun+C1    


Family and relationships - topicc

acquaintance    								<--->  noun+B2    
adopt    								<--->  verb+B2    
adoptive    								<--->  adjective+C1    
adulterous    								<--->  adjective+C2    
adultery    								<--->  noun+C2    
affair    								<--->  noun+B2    
affaire    								<--->  noun+C2    
affinity    								<--->  noun+C2    
alike    								<--->  adjective+C1    
ally    								<--->  noun+C1    
amity    								<--->  noun+C2    
ancestor    								<--->  noun+B2    
ancestry    								<--->  noun+C1    
annul    								<--->  verb+C2    
annulment    								<--->  noun+C2    
antecedent    								<--->  noun+C2    
aunt    								<--->  noun+A1    
avuncular    								<--->  adjective+C2    
background    								<--->  noun+A2    
band    								<--->  noun+B2    
befriend    								<--->  verb+C2    
be on good, friendly, bad, etc. terms (with somebody)    								<--->  idiom+C1
bestie    								<--->  noun+C2    
BF    								<--->  abbreviation+C2    
biracial    								<--->  adjective+C1    
birth father    								<--->  noun+C1    
birth mother    								<--->  noun+C1    
birthright    								<--->  noun+C2    
blended family    								<--->  noun+C2    
blood    								<--->  noun+C2    
blood relation    								<--->  noun+C2    
blue blood    								<--->  noun+C2    
blue-blooded    								<--->  adjective+C2    
bond    								<--->  noun+B2    
bond    								<--->  verb+C1    
bonding    								<--->  noun+C2    
bonhomie    								<--->  noun+C2    
bosom friend    								<--->  noun+C2    
boyfriend    								<--->  noun+A1    
branch    								<--->  noun+C1    
break-up    								<--->  noun+C1    
break up    								<--->  phrasal verb+B1
breeding    								<--->  noun+C2    
broer    								<--->  noun+C2    
broken home    								<--->  noun+C2    
brother    								<--->  noun+A1    
brotherhood    								<--->  noun+C1    
brother-in-law    								<--->  noun+B1    
brotherly    								<--->  adjective+C1    
bua    								<--->  noun+C2    
buddy    								<--->  noun+C1    
by marriage    								<--->  idiom+B2
camaraderie    								<--->  noun+C2    
care    								<--->  verb+A2    
caress    								<--->  verb+C2    
caress    								<--->  noun+C2    
chacha    								<--->  noun+C2    
chachi    								<--->  noun+C2    
cheat    								<--->  verb+C1    
chemistry    								<--->  noun+C2    
cherish    								<--->  verb+C2    
Christian name    								<--->  noun+C1    
chuck    								<--->  verb+C2    
chum    								<--->  noun+C2    
civil partner    								<--->  noun+C1    
clan    								<--->  noun+C1    
close    								<--->  adjective+B1    
close-knit    								<--->  adjective+C1    
cobber    								<--->  noun+C2    
common-law husband    								<--->  noun+C2    
common-law wife    								<--->  noun+C2    
companion    								<--->  noun+C1    
companionship    								<--->  noun+C1    
compatible    								<--->  adjective+C1    
comrade    								<--->  noun+C2    
consanguinity    								<--->  noun+C2    
convivial    								<--->  adjective+C2    
conviviality    								<--->  noun+C2    
co-parent    								<--->  noun+C1    
co-parent    								<--->  verb+C1    
co-parenting    								<--->  noun+C1    
couple    								<--->  noun+A2    
court    								<--->  verb+C2    
cousin    								<--->  noun+A1    
crony    								<--->  noun+C2    
crush    								<--->  noun+C2    
cuddle    								<--->  verb+C2    
Cupid    								<--->  noun+C2    
custodial    								<--->  adjective+C2    
custody    								<--->  noun+C1    
dad    								<--->  noun+A1    
dada    								<--->  noun+C2    
daddy    								<--->  noun+A2    
damad    								<--->  noun+C2    
datable    								<--->  adjective+C1    
date    								<--->  noun+A2    
date    								<--->  verb+B2    
date night    								<--->  noun+B2    
dating agency    								<--->  noun+C2    
daughter    								<--->  noun+A1    
